Company,Stock Price,EPS,P/E Ratio
MSFT,182.54,1.41,129.0
AAPL,300.63,2.59,116.0
AMZN,2351.26,5.09,461.0
FB,208.47,1.72,121.0
GOOGL,1345.43,9.96,135.0
GOOG,1347.3,9.96,135.0
JNJ,148.08,2.2,67.0
BRK.B,0.0,6.75,0.0
V,178.78,2.85,62.0
PG,113.1,1.15,98.0
JPM,90.27,2.58,34.0
UNH,288.77,3.73,77.0
INTC,59.18,1.33,44.0
HD,223.92,2.3,97.0
MA,272.44,1.68,162.0
VZ,55.64,1.0,55.0
T,28.79,0.63,45.0
PFE,38.51,-0.06,-642.0
MRK,77.12,0.93,82.0
XOM,43.99,-0.14,-315.0
NFLX,434.26,1.61,269.0
PEP,130.78,0.96,136.0
BAC,22.35,0.75,29.0
DIS,100.88,0.25,403.0
NVDA,297.79,1.47,202.0
WMT,123.3,1.46,84.0
CSCO,41.15,0.69,59.0
CVX,90.05,1.93,46.0
KO,44.75,0.65,68.0
ADBE,362.52,1.98,183.0
ABT,91.08,0.32,284.0
CMCSA,35.14,0.71,49.0
PYPL,128.31,0.43,298.0
CRM,163.67,-0.31,-528.0
BMY,61.13,-0.73,-84.0
AMGN,236.59,3.09,76.0
COST,308.89,2.11,146.0
MCD,176.97,2.1,84.0
TMO,335.15,1.99,168.0
LLY,156.68,1.6,97.0
MDT,96.76,1.43,67.0
ABBV,85.43,1.89,45.0
ACN,180.38,1.94,92.0
ORCL,51.86,0.8,64.0
NEE,222.66,1.82,122.0
PM,71.5,1.17,61.0
NKE,88.44,0.54,163.0
IBM,123.17,1.32,93.0
UNP,154.3,2.15,71.0
AMT,237.26,0.94,252.0
DHR,163.98,0.91,180.0
AVGO,264.18,0.78,338.0
TXN,112.42,1.25,89.0
WFC,25.61,0.01,2560.0
GILD,77.47,1.23,62.0
LIN,178.95,0.95,188.0
LMT,378.58,6.1,62.0
HON,133.04,2.23,59.0
C,42.95,2.1,20.0
QCOM,78.87,0.41,192.0
SBUX,72.96,0.28,260.0
