Company,Stock Price,P/E Ratio
MSFT,183.6,P/E 27.44 Strong Buy
AAPL,303.74,P/E 20.81 Strong Buy
AMZN,2367.61,P/E 79.75 Strong Buy
FB,211.26,P/E 32.35 Strong Buy
GOOGL,1369.28,P/E 14.68 Strong Buy
GOOG,1372.56,P/E 14.70 Strong Buy
JNJ,147.59,P/E 26.16 Strong Buy
BRK.B,0.0,P/E - 
V,182.72,P/E 25.85 Strong Buy
JPM,91.21,P/E 12.02 Strong Buy
PG,112.17,P/E 77.36 Strong Buy
UNH,285.0,P/E 19.31 Strong Buy
INTC,59.17,P/E 13.79 Strong Buy
HD,229.45,P/E 22.16 Strong Buy
MA,278.47,P/E 40.65 Strong Buy
VZ,55.58,P/E 12.75 Strong Buy
PFE,36.96,P/E 12.69 Strong Buy
T,28.89,P/E 19.70 Strong Buy
MRK,75.6,P/E 22.54 Strong Buy
NFLX,436.53,P/E 81.55 Strong Buy
XOM,44.24,P/E 19.29 Strong Buy
PEP,131.55,P/E 27.19 Strong Buy
NVDA,304.87,P/E 19.62 Strong Buy
DIS,105.57,P/E 19.55 Strong Buy
BAC,22.84,P/E 11.46 Strong Buy
ADBE,366.78,P/E 54.50 Strong Buy
WMT,121.89,P/E 20.62 Strong Buy
CSCO,41.37,P/E 21.19 Strong Buy
KO,44.6,P/E 28.22 Strong Buy
CVX,92.64,P/E 71.70 Strong Buy
ABT,93.99,P/E 42.75 Strong Buy
CMCSA,35.58,P/E 15.30 Strong Buy
PYPL,146.29,P/E 55.92 Strong Buy
CRM,169.9,"P/E 1,098.69 Strong Buy"
BMY,61.04,P/E 31.64 Strong Buy
AMGN,233.33,P/E 17.45 Strong Buy
COST,305.0,P/E 32.75 Strong Buy
TMO,339.08,P/E 34.62 Strong Buy
MCD,181.12,P/E 27.20 Strong Buy
LLY,152.97,P/E 15.97 Strong Buy
MDT,98.94,P/E 26.24 Strong Buy
ABBV,84.22,P/E 15.37 Strong Buy
ACN,187.11,P/E 25.68 Strong Buy
ORCL,52.6,P/E 17.99 Strong Buy
PM,70.14,P/E 18.25 Strong Buy
NKE,88.56,P/E 32.92 Strong Buy
IBM,121.23,P/E 12.87 Strong Buy
NEE,224.48,P/E 13.01 Strong Buy
UNP,156.22,P/E 21.76 Strong Buy
AMT,235.25,P/E 55.11 Strong Buy
TXN,113.65,P/E 23.21 Strong Buy
DHR,163.48,P/E 40.18 Strong Buy
AVGO,267.75,P/E 41.56 Strong Buy
WFC,25.23,P/E 10.77 Strong Buy
GILD,77.61,P/E 15.10 Strong Buy
LIN,184.79,P/E 49.31 Strong Buy
HON,132.79,P/E 20.93 Strong Buy
LMT,376.54,P/E 19.73 Strong Buy
C,44.64,P/E 9.00 Strong Buy
QCOM,78.83,P/E 22.53 Strong Buy
